org	title (year)	URL	access	status	notes
Advisory Committee on Immunization Practices	Prevention and Control of Seasonal Influenza with Vaccines: Recommendations of the Advisory Committee on Immunization Practices — United States, 2025–26 Influenza Season (2025)	https://www.cdc.gov/mmwr/volumes/74/wr/mm7432a2.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Use of Clesrovimab for Prevention of Severe Respiratory Syncytial Virus–Associated Lower Respiratory Tract Infections in Infants: Recommendations of the Advisory Committee on Immunization Practices — United States, 2025 (2025)	https://www.cdc.gov/mmwr/volumes/74/wr/mm7432a3.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Use of the GSK MenACWY-CRM/MenB-4C Pentavalent Meningococcal Vaccine Among Persons Aged ≥10 Years: Recommendations of the Advisory Committee on Immunization Practices — United States, 2025 (2025; pub 2026)	https://www.cdc.gov/mmwr/volumes/75/wr/mm7501a2.htm	open	unqueued	off-index(no ACIP topic page lists it; meningococcal CURRENT omits this 2026-published 2025 recommendation)
Advisory Committee on Immunization Practices	Expanded Recommendations for Use of Pneumococcal Conjugate Vaccines Among Adults Aged ≥50 Years : Recommendations of the Advisory Committee on Immunization Practices — United States, 2024 (2024; pub 2025)	https://www.cdc.gov/mmwr/volumes/74/wr/mm7401a1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	New Dosing Interval and Schedule for the Bexsero MenB-4C Vaccine: Updated Recommendations of the Advisory Committee on Immunization Practices — United States, October 2024 (2024)	https://www.cdc.gov/mmwr/volumes/73/wr/mm7349a3.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Updated Recommendation for Universal Hepatitis B Vaccination in Adults Aged 19–59 Years — United States, 2024 (2024)	https://www.cdc.gov/mmwr/volumes/73/wr/mm7348a3.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Use of 21-Valent Pneumococcal Conjugate Vaccine Among U.S. Adults : Recommendations of the Advisory Committee on Immunization Practices — United States, 2024 (2024)	https://www.cdc.gov/mmwr/volumes/73/wr/mm7336a3.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Use of Additional Doses of 2024–2025 COVID-19 Vaccine for Adults Aged ≥65 Years and Persons Aged ≥6 Months with Moderate or Severe Immunocompromise: Recommendations of the Advisory Committee on Immunization Practices — United States, 2024 (2024)	https://www.cdc.gov/mmwr/volumes/73/wr/mm7349a2.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Use of COVID-19 Vaccines for Persons Aged ≥6 Months: Recommendations of the Advisory Committee on Immunization Practices — United States, 2024–2025 (2024)	https://www.cdc.gov/mmwr/volumes/73/wr/mm7337e2.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Use of Haemophilus influenzae Type b–Containing Vaccines Among American Indian and Alaska Native Infants: Updated Recommendations of the Advisory Committee on Immunization Practices ― United States, 2024 (2024)	https://www.cdc.gov/mmwr/volumes/73/wr/mm7336a4.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Use of Respiratory Syncytial Virus Vaccines in Adults Aged ≥60 Years: Updated Recommendations of the Advisory Committee on Immunization Practices — United States, 2024 (2024)	https://www.cdc.gov/mmwr/volumes/73/wr/mm7332e1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	ACIP Updates: Recommendations for Use of 20-Valent Pneumococcal Conjugate Vaccine in Children ― United States, 2023 (2023)	https://www.cdc.gov/mmwr/volumes/72/wr/mm7239a5.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Pneumococcal Vaccine for Adults Aged ≥19 Years : Recommendations of the Advisory Committee on Immunization Practices, United States, 2023 (2023)	https://www.cdc.gov/mmwr/volumes/72/rr/rr7203a1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Tick-Borne Encephalitis Vaccine: Recommendations of the Advisory Committee on Immunization Practices, United States, 2023 (2023)	https://www.cdc.gov/mmwr/volumes/72/rr/rr7205a1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Use of Inactivated Polio Vaccine Among U.S. Adults: Updated Recommendations of the Advisory Committee on Immunization Practices — United States, 2023 (2023)	https://www.cdc.gov/mmwr/volumes/72/wr/mm7249a3.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Use of JYNNEOS (Smallpox and Mpox Vaccine, Live, Nonreplicating) for Persons Aged ≥18 Years at Risk for Mpox During an Mpox Outbreak: Recommendations of the Advisory Committee on Immunization Practices — United States, 2023 (2023; pub 2025)	https://www.cdc.gov/mmwr/volumes/74/wr/mm7422a3.htm	open	unqueued	off-index(no ACIP topic page lists it; smallpox-mpox CURRENT omits this 2025-published 2023 recommendation)
Advisory Committee on Immunization Practices	Use of Nirsevimab for the Prevention of Respiratory Syncytial Virus Disease Among Infants and Young Children : Recommendations of the Advisory Committee on Immunization Practices — United States, 2023 (2023)	https://www.cdc.gov/mmwr/volumes/72/wr/mm7234a4.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Use of the Pfizer Pentavalent Meningococcal Vaccine Among Persons Aged ≥10 Years: Recommendations of the Advisory Committee on Immunization Practices ― United States, 2023 (2023; pub 2024)	https://www.cdc.gov/mmwr/volumes/73/wr/mm7315a4.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Use of the Pfizer Respiratory Syncytial Virus Vaccine During Pregnancy for the Prevention of Respiratory Syncytial Virus–Associated Lower Respiratory Tract Disease in Infants: Recommendations of the Advisory Committee on Immunization Practices — United States, 2023 (2023)	https://www.cdc.gov/mmwr/volumes/72/wr/mm7241e1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Cholera Vaccine: Recommendations of the Advisory Committee on Immunization Practices, 2022 (2022)	https://www.cdc.gov/mmwr/volumes/71/rr/rr7102a1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Measles, Mumps, Rubella Vaccine (PRIORIX): Recommendations of the Advisory Committee on Immunization Practices — United States, 2022 (2022)	https://www.cdc.gov/mmwr/volumes/71/wr/mm7146a1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Universal Hepatitis B Vaccination in Adults Aged 19–59 Years: Updated Recommendations of the Advisory Committee on Immunization Practices — United States, 2022 (2022)	https://www.cdc.gov/mmwr/volumes/71/wr/mm7113a1.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Use of 15-Valent Pneumococcal Conjugate Vaccine Among U.S. Children : Updated Recommendations of the Advisory Committee on Immunization Practices — United States, 2022 (2022)	https://www.cdc.gov/mmwr/volumes/71/wr/mm7137a3.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Use of a Modified Preexposure Prophylaxis Vaccination Schedule to Prevent Human Rabies: Recommendations of the Advisory Committee on Immunization Practices — United States, 2022 (2022)	https://www.cdc.gov/mmwr/volumes/71/wr/mm7118a2.htm	open	unqueued	-
Advisory Committee on Immunization Practices	Use of JYNNEOS (Smallpox and Monkeypox Vaccine, Live, Nonreplicating) for Preexposure Vaccination of Persons at Risk for Occupational Exposure to Orthopoxviruses: Recommendations of the Advisory Committee on Immunization Practices — United States, 2022 (2022)	https://www.cdc.gov/mmwr/volumes/71/wr/mm7122e1.htm	open	unqueued	-
