# format: census<TAB>region<TAB>disposition
# census = ordinal sentence rows (pPPP.CNN) of an independent normative-sentence census of the
# source PDF (pp3-63 plus a p64-100 sweep), built without sight of the extraction files; region =
# the evidence region carrying that sentence. Text matching is exact/near-exact on rendered text;
# where audit and evidence disagreed on two-column reading order (p48) the exact text match rules.
# page-artifact rows were adjudicated by per-page occurrence counts of normalized payloads in the
# PDF text layer. All 702 census rows are dispositioned: 698 mapped, 4 excluded.
p003.C01	S3-03	gap-closed: region added after census reconciliation
p003.C02	S3-01	mapped
p003.C03	S3-02	mapped
p004.C01	S4-01	mapped
p004.C02	S4-02	mapped
p004.C03	S4-05	mapped
p006.C01	S6-01	mapped
p006.C02	S6-02	mapped
p006.C03	S6-03	mapped
p007.C01	S7-01	gap-closed: region added after census reconciliation
p007.C02	S7-02	gap-closed: region added after census reconciliation
p007.C03	S7-03	gap-closed: region added after census reconciliation
p008.C01	S8-01	mapped
p008.C02	S8-02	mapped
p008.C03	S8-03	mapped
p008.C04	S8-04	mapped
p008.C05	S8-05	mapped
p008.C06	S8-06	mapped
p008.C07	S8-07	mapped
p008.C08	S8-08	mapped
p008.C09	S8-09	mapped
p008.C10	S8-10	mapped
p008.C11	S8-11	mapped
p008.C12	S8-13	mapped
p009.C01	S9-05	gap-closed: Box 2 affirmative composite region covers three census rows
p009.C02	S9-05	gap-closed: Box 2 affirmative composite region covers three census rows
p009.C03	S9-05	gap-closed: Box 2 affirmative composite region covers three census rows
p009.C04	S9-01	mapped
p009.C05	S9-01	mapped
p009.C06	S9-01	mapped
p009.C07	S9-01	mapped
p009.C08	S9-01	mapped
p009.C09	S9-02	mapped
p009.C10	S9-03	mapped
p009.C11	S9-06	gap-closed: region added after census reconciliation
p009.C12	S9-07	gap-closed: region added after census reconciliation
p009.C13	S9-04	mapped
p010.C01	S10-03	gap-closed: region added after census reconciliation
p010.C02	S10-04	gap-closed: region added after census reconciliation
p010.C03	S10-05	gap-closed: region added after census reconciliation
p010.C04	S10-01	mapped
p010.C05	S10-06	gap-closed: region added after census reconciliation
p010.C06	S10-02	mapped
p011.C01	S11-01	gap-closed: region added after census reconciliation
p012.C01	S12-02	mapped
p012.C02	S12-03	mapped
p013.C01	B3-02	mapped
p013.C02	B3-02	mapped
p013.C03	B3-03	mapped
p013.C04	B3-03	mapped
p013.C05	B3-03	mapped
p013.C06	B3-05	mapped
p013.C07	B3-06	mapped
p013.C08	B3-06	mapped
p013.C09	B3-07	mapped
p013.C10	B3-07	mapped
p013.C11	B3-07	mapped
p013.C12	B3-07	mapped
p013.C13	B3-09	mapped
p013.C14	B3-10	mapped
p013.C15	B3-10	mapped
p014.C01	B3-12	mapped
p014.C02	B3-12	mapped
p014.C03	B3-13	mapped
p014.C04	B3-14	mapped
p014.C05	B3-15	mapped
p014.C06	B3-16	mapped
p014.C07	B3-16	mapped
p014.C08	S14-01	mapped
p014.C09	S14-03	mapped
p014.C10	S14-04	mapped
p015.C01	S15-01	mapped
p015.C02	S15-02	mapped
p016.C01	S16-01	mapped
p017.C01	S17-01	mapped
p017.C02	S17-02	mapped
p017.C03	S17-03	mapped
p018.C01	S18-01	mapped
p018.C02	S18-02	mapped
p018.C03	S18-03	mapped
p018.C04	S18-04	mapped
p018.C05	S18-05	mapped
p018.C06	S18-06	mapped
p018.C07	S18-07	mapped
p019.C01	S19-01	mapped
p019.C02	S19-02	mapped
p019.C03	S19-03	mapped
p019.C04	S19-04	mapped
p019.C05	S19-05	mapped
p019.C06	S19-06	mapped
p019.C07	S19-07	mapped
p019.C08	S19-08	mapped
p019.C09	S19-09	mapped
p019.C10	S19-09	mapped
p019.C11	S19-10	mapped
p019.C12	S19-13	gap-closed: region added after census reconciliation
p019.C13	S19-11	mapped
p019.C14	S19-12	mapped
p020.C01	S20-01	mapped
p020.C02	S20-02	mapped
p020.C03	S20-03	mapped
p020.C04	S20-04	mapped
p020.C05	S20-05	mapped
p020.C06	S20-06	mapped
p020.C07	S20-07	mapped
p020.C08	S20-08	mapped
p020.C09	S20-09	mapped
p020.C10	S20-10	mapped
p020.C11	S20-11	mapped
p020.C12	S20-12	mapped
p021.C01	S21-02	mapped
p021.C02	S21-03	mapped
p021.C03	S21-05	mapped
p021.C04	S21-06	mapped
p021.C05	S21-07	mapped
p021.C06	S21-08	mapped
p021.C07	S21-09	mapped
p021.C08	S21-10	mapped
p021.C09	S21-11	mapped
p021.C10	S21-12	mapped
p022.C01	S22-01	mapped
p022.C02	S22-02	mapped
p022.C03	S22-14	gap-closed: region added after census reconciliation
p022.C04	S22-03	mapped
p022.C05	S22-04	mapped
p022.C06	S22-05	mapped
p022.C07	S22-06	mapped
p022.C08	S22-07	mapped
p022.C09	S22-08	mapped
p022.C10	S22-09	mapped
p022.C11	S22-10	mapped
p022.C12	S22-11	mapped
p022.C13	S22-12	mapped
p022.C14	S22-13	mapped
p023.C01	S23-01	mapped
p023.C02	S23-02	mapped
p023.C03	S23-03	mapped
p023.C04	S23-04	mapped
p023.C05	S23-05	mapped
p023.C06	S23-06	mapped
p023.C07	S23-07	mapped
p023.C08	S23-08	mapped
p023.C09	S23-09	mapped
p023.C10	S23-10	mapped
p023.C11	S23-11	mapped
p023.C12	S23-12	mapped
p023.C13	S23-13	mapped
p023.C14	S23-14	mapped
p023.C15	S23-15	mapped
p023.C16	S23-16	mapped
p023.C17	S23-17	mapped
p023.C18	S23-17	mapped
p023.C19	S23-17	mapped
p023.C20	S23-18	mapped
p023.C21	S23-19	mapped
p024.C01	S24-02	mapped
p024.C02	S24-03	mapped
p024.C03	S24-04	mapped
p024.C04	S24-05	mapped
p024.C05	S24-06	mapped
p024.C06	S24-07	mapped
p024.C07	S24-08	mapped
p024.C08	S24-09	mapped
p024.C09	S24-12	mapped
p024.C10	S24-13	mapped
p024.C11	S24-14	mapped
p024.C12	S24-15	mapped
p024.C13	S24-16	mapped
p024.C14	S24-17	mapped
p024.C15	S24-18	mapped
p024.C16	S24-19	mapped
p024.C17	S24-20	mapped
p024.C18	S24-21	mapped
p024.C19	S24-22	mapped
p025.C01	S25-01	mapped
p025.C02	S25-02	mapped
p025.C03	S25-03	mapped
p025.C04	S25-04	mapped
p025.C05	S25-05	mapped
p025.C06	S25-06	mapped
p025.C07	S25-08	mapped
p025.C08	S25-09	mapped
p025.C09	S25-10	mapped
p025.C10	S25-11	mapped
p026.C01	S26-01	mapped
p026.C02	S26-02	mapped
p026.C03	S26-03	mapped
p026.C04	S26-04	mapped
p026.C05	S26-07	mapped
p026.C06	S26-08	mapped
p026.C07	S26-09	mapped
p026.C08	S26-10	mapped
p027.C01	S27-01	mapped
p027.C02	S27-02	mapped
p027.C03	S27-03	mapped
p027.C04	S27-04	mapped
p027.C05	S27-05	mapped
p027.C06	S27-06	mapped
p027.C07	S27-08	mapped
p027.C08	S27-09	mapped
p027.C09	S27-10	mapped
p028.C01	S28-01	mapped
p028.C02	S28-02	mapped
p028.C03	S28-03	mapped
p028.C04	S28-04	mapped
p028.C05	S28-05	mapped
p028.C06	S28-06	mapped
p028.C07	S28-08	mapped
p028.C08	S28-10	mapped
p028.C09	S28-11	mapped
p028.C10	S28-13	mapped
p028.C11	S28-14	mapped
p028.C12	S28-15	mapped
p028.C13	S28-16	mapped
p028.C14	S28-17	mapped
p028.C15	S28-18	mapped
p029.C01	-	page-artifact: no occurrence of the census sentence on the claimed page (per-page occurrence count 0); its real occurrences carry their own census rows
p029.C02	S29-01	mapped
p029.C03	S29-02	mapped
p029.C04	S29-03	mapped
p029.C05	S29-04	mapped
p029.C06	S29-05	mapped
p029.C07	S29-06	mapped
p029.C08	S29-07	mapped
p029.C09	S29-08	mapped
p029.C10	S29-09	mapped
p029.C11	S29-10	mapped
p029.C12	S29-11	mapped
p029.C13	S29-12	mapped
p029.C14	S29-13	mapped
p029.C15	S29-14	mapped
p029.C16	S29-15	mapped
p029.C17	S29-16	mapped
p029.C18	S29-17	mapped
p029.C19	S29-18	mapped
p029.C20	S29-19	mapped
p029.C21	S29-20	mapped
p029.C22	S29-21	mapped
p030.C01	S30-01	mapped
p030.C02	S30-02	mapped
p030.C03	S30-03	mapped
p030.C04	S30-05	mapped
p030.C05	S30-06	mapped
p030.C06	S30-08	mapped
p030.C07	S30-09	mapped
p030.C08	S30-10	mapped
p030.C09	S30-11	mapped
p030.C10	S30-12	mapped
p030.C11	S30-13	mapped
p030.C12	S30-14	mapped
p030.C13	S30-15	mapped
p030.C14	S30-16	mapped
p030.C15	S30-17	mapped
p031.C01	S31-01	mapped
p031.C02	S31-06	gap-closed: region added after census reconciliation
p031.C03	S31-02	mapped
p031.C04	S31-03	mapped
p031.C05	S31-04	mapped
p031.C06	-	page-artifact: no occurrence of the census sentence on the claimed page (per-page occurrence count 0); its real occurrences carry their own census rows
p032.C01	S32-01	mapped
p032.C02	S32-02	mapped
p032.C03	S32-03	mapped
p032.C04	S32-04	mapped
p032.C05	S32-05	mapped
p032.C06	S32-06	mapped
p032.C07	S32-07	mapped
p032.C08	S32-07	mapped
p032.C09	S32-08	mapped
p032.C10	S32-09	mapped
p032.C11	S32-11	mapped
p032.C12	S32-12	mapped
p032.C13	S32-13	mapped
p032.C14	S32-14	mapped
p032.C15	S32-15	mapped
p032.C16	S33-07	mapped: census page slip; the occurrence is the p33 table footnote
p032.C17	S32-17	mapped
p033.C01	S33-01	mapped
p033.C02	S33-03	mapped
p033.C03	S33-04	mapped
p033.C04	S33-05	mapped
p033.C05	S33-06	mapped
p034.C01	S34-01	mapped
